time,x,y,z
0.265,4.456,0.0760636,1.99005
0.265,4.45413,-0.196682,1.9773
0.266,4.47098,0.0757768,1.99398
0.266,4.4691,-0.196969,1.98122
0.267,4.48595,0.0754898,1.99791
0.267,4.48406,-0.197255,1.98514
0.268,4.5009,0.0752026,2.00183
0.268,4.49901,-0.197542,1.98906
0.269,4.51585,0.0749151,2.00575
0.269,4.51395,-0.197829,1.99297
0.27,4.53079,0.0746274,2.00967
0.27,4.52888,-0.198116,1.99688
0.271,4.54571,0.0743395,2.01358
0.271,4.5438,-0.198404,2.00078
0.272,4.56063,0.0740514,2.0175
0.272,4.55871,-0.198691,2.00469
0.273,4.57553,0.073763,2.0214
0.273,4.57361,-0.198979,2.00858
0.274,4.59042,0.0734744,2.02531
0.274,4.58849,-0.199267,2.01248
0.275,4.6053,0.0731856,2.02921
0.275,4.60337,-0.199556,2.01637
0.276,4.62017,0.0728965,2.0331
0.276,4.61824,-0.199844,2.02026
0.277,4.63504,0.0726072,2.037
0.277,4.63309,-0.200133,2.02415
0.278,4.64988,0.0723177,2.04089
0.278,4.64793,-0.200422,2.02803
0.279,4.66472,0.0720279,2.04478
0.279,4.66277,-0.200712,2.03191
0.28,4.67955,0.0717379,2.04866
0.28,4.67759,-0.201001,2.03578
0.281,4.69437,0.0714477,2.05254
0.281,4.6924,-0.201291,2.03965
0.282,4.70918,0.0711573,2.05642
0.282,4.7072,-0.201581,2.04352
0.283,4.72397,0.0708666,2.06029
0.283,4.72199,-0.201871,2.04739
0.284,4.73876,0.0705757,2.06416
0.284,4.73677,-0.202162,2.05125
0.285,4.75353,0.0702846,2.06803
0.285,4.75154,-0.202452,2.05511
0.286,4.7683,0.0699932,2.07189
0.286,4.7663,-0.202743,2.05896
0.287,4.78305,0.0697017,2.07575
0.287,4.78104,-0.203034,2.06282
0.288,4.7978,0.0694098,2.07961
0.288,4.79578,-0.203326,2.06667
0.289,4.81253,0.0691178,2.08347
0.289,4.81051,-0.203617,2.07051
0.29,4.82725,0.0688255,2.08732
0.29,4.82522,-0.203909,2.07435
0.291,4.84196,0.068533,2.09116
0.291,4.83993,-0.204201,2.07819
0.292,4.85666,0.0682403,2.09501
0.292,4.85462,-0.204493,2.08203
0.293,4.87135,0.0679473,2.09885
0.293,4.8693,-0.204786,2.08586
0.294,4.88603,0.0676541,2.10269
0.294,4.88398,-0.205079,2.08969
0.295,4.9007,0.0673607,2.10652
