time,x,y,z
0.191,3.50378,0.136684,1.32825
0.191,3.5038,-0.136366,1.32829
0.192,3.52082,0.136685,1.33024
0.192,3.52084,-0.136365,1.33027
0.193,3.53785,0.136686,1.33222
0.193,3.53787,-0.136363,1.33225
0.194,3.55487,0.136688,1.3342
0.194,3.55489,-0.136362,1.33423
0.195,3.57188,0.136689,1.33618
0.195,3.5719,-0.136361,1.33621
0.196,3.58888,0.13669,1.33816
0.196,3.58889,-0.13636,1.33818
0.197,3.60586,0.136692,1.34013
0.197,3.60588,-0.136358,1.34016
0.198,3.62283,0.136693,1.34211
0.198,3.62285,-0.136357,1.34213
0.199,3.63979,0.136694,1.34408
0.199,3.63981,-0.136356,1.34411
0.2,3.65674,0.136695,1.34605
0.2,3.65676,-0.136355,1.34608
0.201,3.67368,0.136697,1.34802
0.201,3.6737,-0.136353,1.34805
0.202,3.69061,0.136698,1.34999
0.202,3.69062,-0.136352,1.35001
0.203,3.70752,0.136699,1.35196
0.203,3.70754,-0.136351,1.35198
0.204,3.72442,0.1367,1.35392
0.204,3.72444,-0.13635,1.35394
0.205,3.74131,0.136702,1.35589
0.205,3.74133,-0.136348,1.35591
0.206,3.75819,0.136703,1.35785
0.206,3.75821,-0.136347,1.35787
0.207,3.77506,0.136704,1.35981
0.207,3.77508,-0.136346,1.35983
0.208,3.79191,0.136706,1.36177
0.208,3.79193,-0.136344,1.36179
0.209,3.80876,0.136707,1.36373
0.209,3.80878,-0.136343,1.36374
0.21,3.82559,0.136708,1.36568
0.21,3.82561,-0.136342,1.3657
0.211,3.84241,0.136709,1.36764
0.211,3.84243,-0.136341,1.36765
0.212,3.85922,0.136711,1.36959
0.212,3.85924,-0.136339,1.3696
0.213,3.87602,0.136712,1.37154
0.213,3.87604,-0.136338,1.37155
0.214,3.89281,0.136713,1.37349
0.214,3.89283,-0.136337,1.3735
0.215,3.90958,0.136714,1.37544
0.215,3.9096,-0.136336,1.37545
0.216,3.92634,0.136716,1.37739
0.216,3.92636,-0.136334,1.37739
0.217,3.9431,0.136717,1.37933
0.217,3.94312,-0.136333,1.37934
0.218,3.95984,0.136718,1.38127
0.218,3.95986,-0.136332,1.38128
0.219,3.97657,0.136719,1.38321
0.219,3.97659,-0.136331,1.38322
0.22,3.99328,0.136721,1.38515
0.22,3.99331,-0.136329,1.38516
0.221,4.00999,0.136722,1.38709
0.221,4.01001,-0.136328,1.38709
0.222,4.02669,0.136723,1.38903
0.222,4.02671,-0.136327,1.38903
0.223,4.04337,0.136725,1.39096
0.223,4.04339,-0.136325,1.39096
0.224,4.06004,0.136726,1.3929
0.224,4.06006,-0.136324,1.3929
0.225,4.0767,0.136727,1.39483
0.225,4.07673,-0.136323,1.39483
0.226,4.09335,0.136728,1.39676
0.226,4.09338,-0.136322,1.39676
0.227,4.10999,0.13673,1.39869
0.227,4.11001,-0.13632,1.39868
0.228,4.12662,0.136731,1.40061
0.228,4.12664,-0.136319,1.40061
0.229,4.14324,0.136732,1.40254
0.229,4.14326,-0.136318,1.40253
0.23,4.15984,0.136733,1.40446
0.23,4.15986,-0.136317,1.40445
0.231,4.17643,0.136735,1.40638
0.231,4.17646,-0.136315,1.40637
0.232,4.19302,0.136736,1.4083
0.232,4.19304,-0.136314,1.40829
0.233,4.20959,0.136737,1.41022
0.233,4.20961,-0.136313,1.41021
0.234,4.22615,0.136738,1.41214
0.234,4.22617,-0.136312,1.41213
0.235,4.2427,0.13674,1.41405
0.235,4.24272,-0.13631,1.41404
0.236,4.25923,0.136741,1.41597
0.236,4.25926,-0.136309,1.41595
0.237,4.27576,0.136742,1.41788
0.237,4.27578,-0.136308,1.41786
