time,x,y,z
0.275,4.5484,0.136135,5.82409
0.275,4.54926,-0.136913,5.8232
0.276,4.56248,0.136131,5.83907
0.276,4.56335,-0.136916,5.83818
0.277,4.57656,0.136127,5.85403
0.277,4.57743,-0.13692,5.85313
0.278,4.59061,0.136123,5.86897
0.278,4.59149,-0.136924,5.86807
0.279,4.60466,0.136119,5.88389
0.279,4.60553,-0.136928,5.88299
0.28,4.61868,0.136115,5.8988
0.28,4.61956,-0.136933,5.8979
0.281,4.6327,0.13611,5.9137
0.281,4.63358,-0.136937,5.91279
0.282,4.64669,0.136106,5.92857
0.282,4.64758,-0.136941,5.92766
0.283,4.66068,0.136102,5.94343
0.283,4.66156,-0.136945,5.94252
0.284,4.67465,0.136098,5.95828
0.284,4.67554,-0.136949,5.95736
0.285,4.6886,0.136094,5.9731
0.285,4.68949,-0.136953,5.97219
0.286,4.70254,0.13609,5.98791
0.286,4.70343,-0.136957,5.987
0.287,4.71647,0.136085,6.00271
0.287,4.71736,-0.136962,6.00179
0.288,4.73038,0.136081,6.01749
0.288,4.73127,-0.136966,6.01656
0.289,4.74427,0.136077,6.03225
0.289,4.74517,-0.13697,6.03132
0.29,4.75816,0.136073,6.047
0.29,4.75906,-0.136974,6.04607
0.291,4.77202,0.136068,6.06173
0.291,4.77293,-0.136979,6.0608
0.292,4.78588,0.136064,6.07644
0.292,4.78678,-0.136983,6.07551
0.293,4.79971,0.136059,6.09114
0.293,4.80062,-0.136987,6.0902
0.294,4.81354,0.136055,6.10582
0.294,4.81445,-0.136992,6.10488
0.295,4.82735,0.136051,6.12049
0.295,4.82826,-0.136996,6.11955
0.296,4.84114,0.136046,6.13514
0.296,4.84206,-0.137001,6.13419
0.297,4.85492,0.136042,6.14977
0.297,4.85584,-0.137005,6.14882
0.298,4.86869,0.136037,6.16439
0.298,4.86961,-0.13701,6.16344
0.299,4.88244,0.136032,6.17899
0.299,4.88336,-0.137014,6.17804
0.3,4.89618,0.136028,6.19357
0.3,4.8971,-0.137019,6.19262
0.301,4.9099,0.136023,6.20814
0.301,4.91083,-0.137024,6.20719
0.302,4.92361,0.136019,6.2227
0.302,4.92454,-0.137028,6.22174
0.303,4.93731,0.136014,6.23724
0.303,4.93823,-0.137033,6.23628
0.304,4.95099,0.136009,6.25176
0.304,4.95192,-0.137038,6.2508
0.305,4.96465,0.136004,6.26626
0.305,4.96559,-0.137042,6.2653
0.306,4.97831,0.136,6.28076
0.306,4.97924,-0.137047,6.27979
0.307,4.99195,0.135995,6.29523
0.307,4.99288,-0.137052,6.29426
0.308,5.00557,0.13599,6.30969
0.308,5.00651,-0.137056,6.30872
0.309,5.01918,0.135985,6.32413
0.309,5.02012,-0.137061,6.32316
0.31,5.03277,0.13598,6.33856
0.31,5.03371,-0.137066,6.33758
0.311,5.04636,0.135976,6.35297
0.311,5.0473,-0.137071,6.35199
0.312,5.05992,0.135971,6.36737
0.312,5.06087,-0.137076,6.36638
0.313,5.07348,0.135966,6.38175
0.313,5.07442,-0.137081,6.38076
0.314,5.08702,0.135961,6.39611
0.314,5.08796,-0.137086,6.39512
0.315,5.10054,0.135956,6.41046
0.315,5.10149,-0.137091,6.40947
0.316,5.11405,0.135951,6.4248
0.316,5.11501,-0.137096,6.4238
0.317,5.12755,0.135946,6.43911
